Time (UTC),Open,High,Low,Close,Volume 
2024.01.01 00:00:00,2064.562,2067.475,2063.395,2063.996,0.49932
2024.01.02 00:00:00,2063.996,2079.145,2056.145,2059.805,28.69513
2024.01.03 00:00:00,2059.815,2066.175,2030.865,2043.195,33.47346
2024.01.04 00:00:00,2043.165,2051.205,2036.492,2044.445,28.40665
2024.01.05 00:00:00,2044.445,2064.175,2024.695,2045.975,35.08443
2024.01.07 00:00:00,2046.355,2046.445,2043.175,2044.555,0.80188
2024.01.08 00:00:00,2044.585,2046.855,2016.995,2031.035,33.98635
2024.01.09 00:00:00,2031.015,2042.115,2026.325,2031.025,29.13178
2024.01.10 00:00:00,2031.025,2040.626,2020.692,2026.985,24.15296
2024.01.11 00:00:00,2027.025,2047.166,2013.585,2035.505,37.19621
2024.01.12 00:00:00,2035.435,2062.485,2030.275,2049.615,35.27735
2024.01.14 00:00:00,2050.302,2050.302,2046.602,2047.815,0.86153
2024.01.15 00:00:00,2047.845,2058.835,2046.035,2054.242,18.22572
2024.01.16 00:00:00,2054.342,2054.775,2024.515,2028.335,34.7525
2024.01.17 00:00:00,2028.355,2033.145,2002.055,2009.775,34.81898
2024.01.18 00:00:00,2009.795,2025.255,2006.005,2024.025,29.86796
2024.01.19 00:00:00,2024.015,2039.652,2020.702,2030.005,25.81669
2024.01.21 00:00:00,2030.305,2030.365,2027.152,2027.865,0.65925
2024.01.22 00:00:00,2027.865,2032.325,2016.765,2020.935,26.86372
2024.01.23 00:00:00,2020.985,2038.095,2019.805,2029.575,25.43708
2024.01.24 00:00:00,2029.545,2036.965,2011.405,2016.555,34.87257
2024.01.25 00:00:00,2016.605,2025.515,2009.895,2020.905,33.76865
2024.01.26 00:00:00,2020.955,2027.315,2016.185,2019.015,22.03107
2024.01.28 00:00:00,2025.245,2028.955,2021.525,2022.145,1.21888
2024.01.29 00:00:00,2022.215,2037.785,2019.525,2031.325,20.93132
2024.01.30 00:00:00,2031.335,2048.815,2029.325,2036.725,29.68516
2024.01.31 00:00:00,2036.755,2056.175,2031.125,2040.125,37.24149
2024.02.01 00:00:00,2040.155,2065.625,2030.245,2055.095,32.36408
2024.02.02 00:00:00,2055.085,2057.865,2027.995,2040.455,28.98622
2024.02.04 00:00:00,2040.946,2042.666,2039.415,2039.465,0.62511
